title,original_title,year,duration_mins,rating,votes,countries_available,url,mubi_url
"The Anabasis of May and Fusako Shigenobu, Masao Adachi and the 27 Years Without Images","L'anabase de May et Fusako Shigenobu, Masao Adachi et 27 années sans images",2011,70,8.1,1107,239,https://mubifinder.com/movie/the-anabasis-of-may-and-fusako-shigenobu-masao-adachi-and-the-27-years-without-images/,https://mubi.com/films/the-anabasis-of-may-and-fusako-shigenobu-masao-adachi-and-the-27-years-without-images
Dream Work,,2001,11,7.9,7297,248,https://mubifinder.com/movie/dream-work/,https://mubi.com/films/dream-work
Teddy Bear,10 timer til Paradis,2012,96,7.9,2203,185,https://mubifinder.com/movie/teddy-bear-2012/,https://mubi.com/films/teddy-bear-2012
Cave of Forgotten Dreams,,2010,90,8.8,10109,132,https://mubifinder.com/movie/cave-of-forgotten-dreams/,https://mubi.com/films/cave-of-forgotten-dreams
Terri,,2011,105,7.7,5747,163,https://mubifinder.com/movie/terri/,https://mubi.com/films/terri
Garden of Delights,Il giardino delle delizie,1967,72,7.0,295,4,https://mubifinder.com/movie/garden-of-delights/,https://mubi.com/films/garden-of-delights
Baghead,,2008,81,6.9,4391,205,https://mubifinder.com/movie/baghead/,https://mubi.com/films/baghead
Following Diana,Sendiri Diana Sendiri,2015,40,7.4,727,238,https://mubifinder.com/movie/following-diana/,https://mubi.com/films/following-diana
The Temptation of St. Tony,Püha Tõnu kiusamine,2009,110,7.9,455,2,https://mubifinder.com/movie/the-temptation-of-st-tony/,https://mubi.com/films/the-temptation-of-st-tony
A Funny Man,Dirch,2011,111,6.4,86,1,https://mubifinder.com/movie/a-funny-man/,https://mubi.com/films/a-funny-man
Altiplano,,2009,106,8.1,793,24,https://mubifinder.com/movie/altiplano/,https://mubi.com/films/altiplano
Applause,Applaus,2009,83,7.2,167,2,https://mubifinder.com/movie/applause/,https://mubi.com/films/applause
Autumn Ball,Sügisball,2007,120,7.3,399,3,https://mubifinder.com/movie/autumn-ball/,https://mubi.com/films/autumn-ball
Suicide Room,Sala samobójców,2011,116,6.4,504,1,https://mubifinder.com/movie/suicide-room/,https://mubi.com/films/suicide-room
As Long as Shotguns Remain,Tant qu'il nous reste des fusils à pompe,2014,30,6.5,2114,245,https://mubifinder.com/movie/as-long-as-shotguns-remain/,https://mubi.com/films/as-long-as-shotguns-remain
Amy George,,2011,95,6.4,555,86,https://mubifinder.com/movie/amy-george/,https://mubi.com/films/amy-george
9 Muses of Star Empire,,2012,82,6.6,1228,247,https://mubifinder.com/movie/9-muses-of-star-empire/,https://mubi.com/films/9-muses-of-star-empire
The Green Wave,,2010,80,7.8,331,205,https://mubifinder.com/movie/the-green-wave/,https://mubi.com/films/the-green-wave
La reine des pommes,,2009,82,7.3,2483,227,https://mubifinder.com/movie/the-queen-of-hearts-2009/,https://mubi.com/films/the-queen-of-hearts-2009
Beast,,2011,82,5.5,308,2,https://mubifinder.com/movie/beast-2011/,https://mubi.com/films/beast-2011
Ashes,หนังสั้นจาก,2012,20,7.1,5885,245,https://mubifinder.com/movie/ashes/,https://mubi.com/films/ashes
