title,original_title,year,duration_mins,rating,votes,countries_available,url,mubi_url
Basic Instinct,,1992,128,7.6,13239,22,https://mubifinder.com/movie/basic-instinct/,https://mubi.com/films/basic-instinct
Inpaintings,Başlangıçlar,2023,92,7.5,971,1,https://mubifinder.com/movie/inpaintings/,https://mubi.com/films/inpaintings
Barbara,,2012,105,8.4,14296,162,https://mubifinder.com/movie/barbara-2012/,https://mubi.com/films/barbara-2012
The Practice,La Práctica,2023,95,6.7,5583,195,https://mubifinder.com/movie/the-practice-2023/,https://mubi.com/films/the-practice-2023
Transit,,2018,102,8.3,12797,130,https://mubifinder.com/movie/transit-2018/,https://mubi.com/films/transit-2018
Phoenix,,2014,100,8.6,17225,186,https://mubifinder.com/movie/phoenix-2014/,https://mubi.com/films/phoenix-2014
Jerichow,,2008,92,7.7,7119,192,https://mubifinder.com/movie/jerichow/,https://mubi.com/films/jerichow
Thief,,1981,123,7.9,2715,13,https://mubifinder.com/movie/thief/,https://mubi.com/films/thief
When the Shift Ends,Satışçının Bir Günü,2023,20,7.5,509,1,https://mubifinder.com/movie/when-the-shift-ends/,https://mubi.com/films/when-the-shift-ends
Groundhog Day,,1993,101,7.8,13955,1,https://mubifinder.com/movie/groundhog-day/,https://mubi.com/films/groundhog-day
Hannah Takes the Stairs,,2007,84,6.5,3494,241,https://mubifinder.com/movie/hannah-takes-the-stairs/,https://mubi.com/films/hannah-takes-the-stairs
The Tamed,Evcil,2023,19,6.7,597,1,https://mubifinder.com/movie/the-tamed/,https://mubi.com/films/the-tamed
Magnificent Obsession,,1954,108,7.5,2701,49,https://mubifinder.com/movie/magnificent-obsession/,https://mubi.com/films/magnificent-obsession
Chilly Scenes of Winter,Head Over Heels,1979,95,7.4,579,4,https://mubifinder.com/movie/chilly-scenes-of-winter/,https://mubi.com/films/chilly-scenes-of-winter
Touki Bouki,,1973,90,7.9,4177,191,https://mubifinder.com/movie/touki-bouki/,https://mubi.com/films/touki-bouki
"Blind Willow, Sleeping Woman","Saules aveugles, femme endormie",2022,118,8.6,1337,157,https://mubifinder.com/movie/blind-willow-sleeping-woman/,https://mubi.com/films/blind-willow-sleeping-woman
The Sweet East,,2023,105,7.4,3834,160,https://mubifinder.com/movie/the-sweet-east/,https://mubi.com/films/the-sweet-east
Die My Love,,2025,119,7.4,42318,106,https://mubifinder.com/movie/die-my-love/,https://mubi.com/films/die-my-love
The Cathedral,,2021,88,7.0,1637,203,https://mubifinder.com/movie/the-cathedral-2021/,https://mubi.com/films/the-cathedral-2021
Nights of Cabiria,Le Notti di Cabiria,1957,118,9.1,12197,1,https://mubifinder.com/movie/nights-of-cabiria/,https://mubi.com/films/nights-of-cabiria
Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,,2017,79,8.0,844,160,https://mubifinder.com/movie/boom-for-real-the-late-teenage-years-of-jean-michel-basquiat/,https://mubi.com/films/boom-for-real-the-late-teenage-years-of-jean-michel-basquiat
When Harry Met Sally...,,1989,96,8.4,17096,18,https://mubifinder.com/movie/when-harry-met-sally/,https://mubi.com/films/when-harry-met-sally
Uncle Boonmee Who Can Recall His Past Lives,ลุงบุญมีระลึกชาติ | Loong Boonmee raleuk chat,2010,114,7.9,11168,17,https://mubifinder.com/movie/uncle-boonmee-who-can-recall-his-past-lives/,https://mubi.com/films/uncle-boonmee-who-can-recall-his-past-lives
Perfumed Nightmare,Mababangong Bangungot,1977,95,8.4,3864,234,https://mubifinder.com/movie/perfumed-nightmare/,https://mubi.com/films/perfumed-nightmare
